Specimen| appliesTo
Specimen_A_01| both
Specimen_A_02| both
Specimen_A_03| both
Specimen_A_04| both
Specimen_A_05| both
Specimen_A_06| both
Specimen_A_07| both
Specimen_A_08| both
Specimen_A_09| both
Specimen_A_10| both
Specimen_A_11| both
Specimen_A_12| both
Specimen_A_13| both
Specimen_A_14| both
Specimen_AA_01| both
Specimen_AA_02| both
Specimen_AA_03| both
Specimen_AA_04| both
Specimen_AA_05| both
Specimen_AA_06| both
Specimen_AA_07| both
Specimen_AA_08| both
Specimen_AA_09| both
Specimen_AA_10| both
Specimen_AA_11| both
Specimen_AA_12| both
Specimen_AA_13| both
Specimen_AA_14| both
Specimen_AA_15| both
Specimen_AB_01| both
Specimen_AB_02| both
Specimen_AB_03| both
Specimen_AB_04| both
Specimen_AB_05| both
Specimen_AB_06| both
Specimen_AB_07| both
Specimen_AB_08| both
Specimen_AB_09| both
Specimen_AB_10| both
Specimen_AB_11| both
Specimen_AB_12| both
Specimen_AB_13| both
Specimen_AB_14| both
Specimen_AB_15| both
Specimen_AC_01| both
Specimen_AC_02| both
Specimen_AC_03| both
Specimen_AC_04| both
Specimen_AC_05| both
Specimen_AC_06| both
Specimen_AC_07| both
Specimen_AC_08| both
Specimen_AC_09| both
Specimen_AC_10| both
Specimen_AC_11| both
Specimen_AC_12| both
Specimen_AC_13| both
Specimen_AC_14| both
Specimen_AC_15| both
Specimen_AD_01| both
Specimen_AD_02| both
Specimen_AD_03| both
Specimen_AD_04| both
Specimen_AD_05| both
Specimen_AD_06| both
Specimen_AD_07| both
Specimen_AD_08| both
Specimen_AD_09| both
Specimen_AD_10| both
Specimen_AD_11| both
Specimen_AD_12| both
Specimen_AD_13| both
Specimen_AD_14| both
Specimen_AD_15| both
Specimen_AE_01| both
Specimen_AE_02| both
Specimen_AE_03| both
Specimen_AE_04| both
Specimen_AE_05| both
Specimen_AE_06| both
Specimen_AE_07| both
Specimen_AE_08| both
Specimen_AE_09| both
Specimen_AE_10| both
Specimen_AE_11| both
Specimen_AE_12| both
Specimen_AE_13| both
Specimen_AE_14| both
Specimen_AE_15| both
Specimen_AF_01| both
Specimen_AF_02| both
Specimen_AF_03| both
Specimen_AF_04| both
Specimen_AF_05| both
Specimen_AF_06| both
Specimen_AF_07| both
Specimen_AF_08| both
Specimen_AF_09| both
Specimen_AF_10| both
Specimen_AF_11| both
Specimen_AF_12| both
Specimen_AF_13| both
Specimen_AF_14| both
Specimen_AF_15| both
Specimen_B_01| both
Specimen_B_02| both
Specimen_B_03| both
Specimen_B_04| both
Specimen_B_05| both
Specimen_B_06| both
Specimen_B_07| both
Specimen_B_08| both
Specimen_B_09| both
Specimen_B_10| both
Specimen_B_11| both
Specimen_B_12| both
Specimen_B_13| both
Specimen_B_14| both
Specimen| appliesTo
Specimen_BA_01| both
Specimen_BA_02| both
Specimen_BA_03| both
Specimen_BA_04| both
Specimen_BA_05| both
Specimen_BA_06| both
Specimen_BA_07| both
Specimen_BA_08| both
Specimen_BA_09| both
Specimen_BA_10| both
Specimen_BA_11| both
Specimen_BA_12| both
Specimen_BA_13| both
Specimen_BA_14| both
Specimen_BA_15| both
Specimen_BB_01| both
Specimen_BB_02| both
Specimen_BB_03| both
Specimen_BB_04| both
Specimen_BB_05| both
Specimen_BB_06| both
Specimen_BB_07| both
Specimen_BB_08| both
Specimen_BB_09| both
Specimen_BB_10| both
Specimen_BB_11| both
Specimen_BB_12| both
Specimen_BB_13| both
Specimen_BB_14| both
Specimen_BB_15| both
Specimen_BC_01| both
Specimen_BC_02| both
Specimen_BC_03| both
Specimen_BC_04| both
Specimen_BC_05| both
Specimen_BC_06| both
Specimen_BC_07| both
Specimen_BC_08| both
Specimen_BC_09| both
Specimen_BC_10| both
Specimen_BC_11| both
Specimen_BC_12| both
Specimen_BC_13| both
Specimen_BC_14| both
Specimen_BC_15| both
Specimen_BD_01| both
Specimen_BD_02| both
Specimen_BD_03| both
Specimen_BD_04| both
Specimen_BD_05| both
Specimen_BD_06| both
Specimen_BD_07| both
Specimen_BD_08| both
Specimen_BD_09| both
Specimen_BD_10| both
Specimen_BD_11| both
Specimen_BD_12| both
Specimen_BD_13| both
Specimen_BD_14| both
Specimen_BD_15| both
Specimen_BE_01| both
Specimen_BE_02| both
Specimen_BE_03| both
Specimen_BE_04| both
Specimen_BE_05| both
Specimen_BE_06| both
Specimen_BE_07| both
Specimen_BE_08| both
Specimen_BE_09| both
Specimen_BE_10| both
Specimen_BE_11| both
Specimen_BE_12| both
Specimen_BE_13| both
Specimen_BE_14| both
Specimen_BE_15| both
Specimen_BF_01| both
Specimen_BF_02| both
Specimen_BF_03| both
Specimen_BF_04| both
Specimen_BF_05| both
Specimen_BF_06| both
Specimen_BF_07| both
Specimen_BF_08| both
Specimen_BF_09| both
Specimen_BF_10| both
Specimen_BF_11| both
Specimen_BF_12| both
Specimen_BF_13| both
Specimen_BF_14| both
Specimen_BF_15| both
Specimen_C_01| both
Specimen_C_02| both
Specimen_C_03| atk1
Specimen_C_04| both
Specimen_C_05| both
Specimen_C_06| both
Specimen_C_07| both
Specimen_C_08| both
Specimen_C_09| both
Specimen_C_10| both
Specimen_C_11| both
Specimen_C_12| both
Specimen_C_13| both
Specimen_C_14| both
Specimen_CA_01| both
Specimen_CA_02| both
Specimen_CA_03| both
Specimen_CA_04| both
Specimen_CA_05| both
Specimen_CA_06| both
Specimen_CA_07| both
Specimen_CA_08| both
Specimen_CA_09| both
Specimen_CA_10| both
Specimen_CA_11| both
Specimen_CA_12| both
Specimen_CA_13| both
Specimen_CA_14| both
Specimen_CA_15| both
Specimen_CB_01| both
Specimen_CB_02| both
Specimen_CB_03| both
Specimen_CB_04| both
Specimen_CB_05| both
Specimen_CB_06| both
Specimen_CB_07| both
Specimen_CB_08| both
Specimen_CB_09| both
Specimen_CB_10| both
Specimen_CB_11| both
Specimen_CB_12| both
Specimen_CB_13| both
Specimen_CB_14| both
Specimen_CB_15| both
Specimen_CC_01| both
Specimen_CC_02| both
Specimen_CC_03| atk1
Specimen_CC_04| both
Specimen_CC_05| both
Specimen_CC_06| both
Specimen_CC_07| both
Specimen_CC_08| both
Specimen_CC_09| both
Specimen_CC_10| both
Specimen_CC_11| both
Specimen_CC_12| both
Specimen_CC_13| both
Specimen_CC_14| both
Specimen_CC_15| both
Specimen_CD_01| both
Specimen_CD_02| both
Specimen_CD_03| both
Specimen_CD_04| both
Specimen_CD_05| both
Specimen_CD_06| both
Specimen_CD_07| both
Specimen_CD_08| both
Specimen_CD_09| both
Specimen_CD_10| both
Specimen_CD_11| both
Specimen_CD_12| atk1
Specimen_CD_13| both
Specimen_CD_14| both
Specimen_CD_15| both
Specimen_CE_01| both
Specimen_CE_02| both
Specimen_CE_03| both
Specimen_CE_04| both
Specimen_CE_05| both
Specimen_CE_06| both
Specimen_CE_07| both
Specimen_CE_08| both
Specimen_CE_09| both
Specimen_CE_10| both
Specimen_CE_11| both
Specimen_CE_12| both
Specimen_CE_13| both
Specimen_CE_14| both
Specimen_CE_15| both
Specimen_CF_01| both
Specimen_CF_02| both
Specimen_CF_03| both
Specimen_CF_04| both
Specimen_CF_05| both
Specimen_CF_06| both
Specimen_CF_07| both
